"COLLEGIO";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA";"ELETTO";"COGNOME";"NOME";"SESSO"
"VALLE D'AOSTA";"ARNAD";1062;505;843;409;17;"IL POPOLO DELLA LIBERTA'";68,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"ARNAD";1062;505;843;409;17;"VALLEE D'AOSTE";376,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"ARNAD";1062;505;843;409;17;"AUT.LIB. DEMOCRATIE";315,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"ARNAD";1062;505;843;409;17;"LEGA NORD";24,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"ARVIER";665;334;537;268;7;"AZ.SOCIALE MUSSOLINI";6,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"ARVIER";665;334;537;268;7;"IL POPOLO DELLA LIBERTA'";63,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"ARVIER";665;334;537;268;7;"VALLEE D'AOSTE";232,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"ARVIER";665;334;537;268;7;"AUT.LIB. DEMOCRATIE";209,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"ARVIER";665;334;537;268;7;"LEGA NORD";9,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"AVISE";245;125;201;106;7;"AZ.SOCIALE MUSSOLINI";1,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"AVISE";245;125;201;106;7;"IL POPOLO DELLA LIBERTA'";15,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"AVISE";245;125;201;106;7;"VALLEE D'AOSTE";67,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"AVISE";245;125;201;106;7;"AUT.LIB. DEMOCRATIE";105,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"AVISE";245;125;201;106;7;"LEGA NORD";0,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"AYAS";1055;511;861;421;26;"AZ.SOCIALE MUSSOLINI";5,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"AYAS";1055;511;861;421;26;"IL POPOLO DELLA LIBERTA'";114,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"AYAS";1055;511;861;421;26;"VALLEE D'AOSTE";463,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"AYAS";1055;511;861;421;26;"AUT.LIB. DEMOCRATIE";161,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"AYAS";1055;511;861;421;26;"LEGA NORD";57,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"AYMAVILLES";1585;790;1260;633;19;"AZ.SOCIALE MUSSOLINI";14,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"AYMAVILLES";1585;790;1260;633;19;"IL POPOLO DELLA LIBERTA'";181,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"AYMAVILLES";1585;790;1260;633;19;"VALLEE D'AOSTE";464,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"AYMAVILLES";1585;790;1260;633;19;"AUT.LIB. DEMOCRATIE";518,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"AYMAVILLES";1585;790;1260;633;19;"LEGA NORD";31,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"BARD";117;58;104;52;5;"AZ.SOCIALE MUSSOLINI";2,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"BARD";117;58;104;52;5;"IL POPOLO DELLA LIBERTA'";13,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
