"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SCHEDE_BIANCHE"
"PIEMONTE";"ALESSANDRIA";"1";"Indennita' di contingenza";382855;181131;"321342";"156478";"141233";169588;"5596"
"MARCHE";"ANCONA";"1";"Indennita' di contingenza";354091;168888;"307086";"148496";"140041";157225;"4874"
"TOSCANA";"AREZZO";"1";"Indennita' di contingenza";254211;123095;"225214";"111186";"115452";104062;"3026"
"MARCHE";"ASCOLI PICENO";"1";"Indennita' di contingenza";289182;140474;"240320";"118422";"108737";120819;"4697"
"PIEMONTE";"ASTI";"1";"Indennita' di contingenza";175983;84036;"140156";"68865";"51913";82212;"3024"
"CAMPANIA";"AVELLINO";"1";"Indennita' di contingenza";361297;177289;"215843";"109735";"94329";113612;"3623"
"PUGLIA";"BARI";"1";"Indennita' di contingenza";1108166;536564;"773065";"385574";"354831";392568;"9006"
"VENETO";"BELLUNO";"1";"Indennita' di contingenza";187903;89450;"132728";"64418";"37817";90521;"1770"
"CAMPANIA";"BENEVENTO";"1";"Indennita' di contingenza";239923;116902;"148416";"75912";"60568";81066;"2849"
"LOMBARDIA";"BERGAMO";"1";"Indennita' di contingenza";698544;337375;"612890";"295587";"164715";430351;"9525"
"EMILIA-ROMAGNA";"BOLOGNA";"1";"Indennita' di contingenza";771913;365915;"693153";"331918";"374717";304817;"6958"
"LOMBARDIA";"BRESCIA";"1";"Indennita' di contingenza";793930;381041;"696209";"335139";"241611";435028;"10233"
"PUGLIA";"BRINDISI";"1";"Indennita' di contingenza";298108;142936;"221119";"107187";"105267";105511;"3883"
"MOLISE";"CAMPOBASSO";"1";"Indennita' di contingenza";211804;103681;"133556";"66417";"54609";73103;"2576"
"CAMPANIA";"CASERTA";"1";"Indennita' di contingenza";568247;274221;"363023";"183453";"181211";166086;"7382"
"CALABRIA";"CATANZARO";"1";"Indennita' di contingenza";570480;280499;"344373";"175204";"182853";147407;"5505"
"ABRUZZO";"CHIETI";"1";"Indennita' di contingenza";321533;157026;"235957";"116318";"101297";126152;"3863"
"LOMBARDIA";"COMO";"1";"Indennita' di contingenza";609245;288785;"524563";"253202";"147191";355913;"7602"
"CALABRIA";"COSENZA";"1";"Indennita' di contingenza";572577;281743;"357933";"182456";"187354";152802;"7320"
"LOMBARDIA";"CREMONA";"1";"Indennita' di contingenza";266724;126613;"240029";"114835";"95828";136539;"4160"
"PIEMONTE";"CUNEO";"1";"Indennita' di contingenza";439403;214584;"359656";"179305";"93660";249706;"7736"
"EMILIA-ROMAGNA";"FERRARA";"1";"Indennita' di contingenza";310192;146890;"286331";"136184";"141333";137880;"3871"
"TOSCANA";"FIRENZE";"1";"Indennita' di contingenza";972460;461457;"846573";"409404";"472770";354956;"9519"
"PUGLIA";"FOGGIA";"1";"Indennita' di contingenza";512069;249709;"363690";"179987";"180327";171548;"4680"
"EMILIA-ROMAGNA";"FORLI' ";"1";"Indennita' di contingenza";480894;232005;"430968";"210386";"216145";203754;"4798"
"LAZIO";"FROSINONE";"1";"Indennita' di contingenza";391183;192234;"294694";"148013";"152056";130935;"4913"
