"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SKBIANCHE";"NUMVOTISI";"NUMVOTINO"
"SICILIA";"Agrigento";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";456125;224640;"89396";"46805";"3502";"50819";30007
"PIEMONTE";"Alessandria";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";374941;178562;"141228";"71292";"2008";"84309";52556
"MARCHE";"Ancona ";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";384929;184093;"155723";"78730";"2179";"107873";43445
"VALLE D'AOSTA";"Aosta";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";102731;50224;"33563";"16923";"875";"14824";17168
"TOSCANA";"Arezzo";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";272831;131459;"108801";"55521";"1250";"74031";32504
"MARCHE";"Ascoli Piceno";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";316735;153056;"114221";"58186";"1935";"66504";39647
"PIEMONTE";"Asti";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";179930;86206;"58138";"29378";"1022";"34189";21275
"CAMPANIA";"Avellino";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";417524;205255;"92787";"49649";"1937";"56232";30843
"PUGLIA";"Bari";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";1332999;648520;"371115";"192123";"6466";"218028";135792
"VENETO";"Belluno";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";198975;95114;"61874";"31045";"657";"38211";22335
"CAMPANIA";"Benevento";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";269129;130313;"61229";"32135";"1642";"34088";23711
"LOMBARDIA";"Bergamo";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";806179;391412;"325982";"160671";"3650";"171955";145626
"EMILIA ROMAGNA";"Bologna";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";789616;375127;"421015";"204212";"3011";"310555";99863
"TRENTINO A.A.";"Bolzano";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";379724;185206;"197666";"95505";"2146";"165699";27930
"LOMBARDIA";"Brescia";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";907884;437580;"343079";"169442";"3349";"188607";145668
"PUGLIA";"Brindisi";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";345011;165451;"86404";"43874";"2152";"50678";31073
"SARDEGNA";"Cagliari";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";660975;322208;"165532";"82566";"2234";"107236";52869
"SICILIA";"Caltanissetta";"1";"REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione";278282;135949;"59829";"30730";"2028";"33267";21987
