"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SCHEDE_BIANCHE"
"PIEMONTE";"ALESSANDRIA";"4";"Contributi enti locali";381803;180288;"270484";"135240";"186735";46227;"25834"
"PIEMONTE";"ALESSANDRIA";"5";"Divieto partecipazione dell'ENEL a impianti nucleari all'estero";381803;180288;"269528";"134769";"170626";64129;"23676"
"PIEMONTE";"ALESSANDRIA";"2";"Commissione inquirente";381803;180288;"269806";"134998";"198392";35122;"25436"
"MARCHE";"ANCONA";"2";"Commissione inquirente";359387;171289;"257240";"128291";"188292";31257;"26160"
"MARCHE";"ANCONA";"1";"Responsabilita' civile del giudice";359387;171289;"257093";"128269";"177053";41425;"27081"
"MARCHE";"ANCONA";"4";"Contributi enti locali";359387;171289;"257111";"128247";"177435";41148;"27092"
"MARCHE";"ANCONA";"3";"Localizzazione centrali nucleari";359387;171289;"257162";"128313";"180387";39784;"25784"
"MARCHE";"ANCONA";"5";"Divieto partecipazione dell'ENEL a impianti nucleari all'estero";359387;171289;"257180";"128306";"162971";58104;"24874"
"TOSCANA";"AREZZO";"3";"Localizzazione centrali nucleari";258082;124909;"182693";"92628";"136248";24483;"16345"
"TOSCANA";"AREZZO";"5";"Divieto partecipazione dell'ENEL a impianti nucleari all'estero";258082;124909;"182724";"92651";"123749";37909;"15401"
"TOSCANA";"AREZZO";"2";"Commissione inquirente";258082;124909;"182696";"92633";"141637";18825;"16502"
"TOSCANA";"AREZZO";"1";"Responsabilita' civile del giudice";258082;124909;"182811";"92700";"135633";24310;"16841"
"TOSCANA";"AREZZO";"4";"Contributi enti locali";258082;124909;"182684";"92618";"131699";24696;"17078"
"MARCHE";"ASCOLI PICENO";"1";"Responsabilita' civile del giudice";295393;143491;"199574";"101499";"130297";31829;"25129"
"MARCHE";"ASCOLI PICENO";"2";"Commissione inquirente";295393;143491;"201109";"101522";"136915";26012;"24767"
"MARCHE";"ASCOLI PICENO";"5";"Divieto partecipazione dell'ENEL a impianti nucleari all'estero";295393;143491;"202047";"102435";"119425";44873;"23632"
"MARCHE";"ASCOLI PICENO";"3";"Localizzazione centrali nucleari";295393;143491;"201018";"101410";"132443";30655;"24941"
"MARCHE";"ASCOLI PICENO";"4";"Contributi enti locali";295393;143491;"201008";"101405";"129957";31614;"26059"
"PIEMONTE";"ASTI";"1";"Responsabilita' civile del giudice";176878;84531;"119414";"60137";"78592";19818;"14181"
"PIEMONTE";"ASTI";"2";"Commissione inquirente";176878;84531;"119438";"60146";"82237";16663;"14010"
"PIEMONTE";"ASTI";"4";"Contributi enti locali";176878;84531;"119443";"60152";"77707";20694;"14515"
"PIEMONTE";"ASTI";"5";"Divieto partecipazione dell'ENEL a impianti nucleari all'estero";176878;84531;"119443";"60154";"70204";29562;"13231"
"PIEMONTE";"ASTI";"3";"Localizzazione centrali nucleari";176878;84531;"119446";"60155";"78835";20368;"13841"
"CAMPANIA";"AVELLINO";"2";"Commissione inquirente";371088;182147;"171229";"89341";"120025";24272;"19734"
"CAMPANIA";"AVELLINO";"1";"Responsabilita' civile del giudice";371088;182147;"171221";"89339";"115184";28651;"19939"
"CAMPANIA";"AVELLINO";"4";"Contributi enti locali";371088;182147;"171178";"89296";"114708";28167;"20857"
"CAMPANIA";"AVELLINO";"5";"Divieto partecipazione dell'ENEL a impianti nucleari all'estero";371088;182147;"171195";"89318";"105268";38944;"19426"
"CAMPANIA";"AVELLINO";"3";"Localizzazione centrali nucleari";371088;182147;"171184";"89298";"117133";26855;"19916"
