"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SCHEDE_BIANCHE"
"SICILIA";"AGRIGENTO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";466850;231178;"141931";"75311";"119069";8935;"6119"
"PIEMONTE";"ALESSANDRIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";377891;179506;"198557";"99037";"168638";19186;"5147"
"MARCHE";"ANCONA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";384584;183737;"214217";"107913";"186688";15917;"5245"
"VALLE D'AOSTA";"AOSTA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";102545;50193;"43798";"22152";"36956";3649;"1656"
"TOSCANA";"AREZZO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";271392;130749;"152723";"77432";"135735";9932;"3800"
"MARCHE";"ASCOLI PICENO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";314816;152168;"181624";"92486";"156659";11433;"5723"
"PIEMONTE";"ASTI";"1";"Elezione Camera Deputati (abolizione del voto di lista)";180730;86653;"89268";"44881";"74784";8177;"2696"
"CAMPANIA";"AVELLINO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";414976;203775;"152150";"81311";"130661";10272;"5087"
"PUGLIA";"BARI";"1";"Elezione Camera Deputati (abolizione del voto di lista)";1313214;638782;"642345";"332839";"566254";41700;"13316"
"VENETO";"BELLUNO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";198380;94634;"85675";"42133";"75111";6575;"1812"
"CAMPANIA";"BENEVENTO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";272108;132208;"105860";"55986";"91005";6461;"3951"
"LOMBARDIA";"BERGAMO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";793840;384608;"430431";"207878";"353204";52762;"12319"
"EMILIA ROMAGNA";"BOLOGNA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";791575;375824;"513395";"248699";"464229";31445;"8807"
"TRENTINO ALTO-ADIGE";"BOLZANO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";373938;182315;"149515";"73985";"76069";64714;"6206"
"LOMBARDIA";"BRESCIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";895950;431088;"447024";"217371";"383655";41418;"11209"
"PUGLIA";"BRINDISI";"1";"Elezione Camera Deputati (abolizione del voto di lista)";342151;164190;"158689";"80578";"133770";11532;"5705"
"SARDEGNA";"CAGLIARI";"1";"Elezione Camera Deputati (abolizione del voto di lista)";652328;318288;"289771";"146789";"258113";19874;"4396"
"SICILIA";"CALTANISSETTA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";277904;135935;"93993";"48865";"79500";6217;"3500"
"MOLISE";"CAMPOBASSO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";231841;113418;"107648";"55519";"93292";6615;"3297"
"CAMPANIA";"CASERTA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";688948;333715;"278869";"146858";"241102";19793;"8683"
"SICILIA";"CATANIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";902933;435262;"382775";"195772";"325964";28019;"10385"
"CALABRIA";"CATANZARO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";337064;164401;"121116";"64875";"103226";8215;"3976"
"ABRUZZI";"CHIETI";"1";"Elezione Camera Deputati (abolizione del voto di lista)";368387;179756;"185707";"95004";"162147";11705;"5022"
"LOMBARDIA";"COMO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";455219;218488;"231959";"112923";"195436";23522;"5295"
"CALABRIA";"COSENZA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";651811;321139;"246826";"133271";"208288";16720;"8574"
"LOMBARDIA";"CREMONA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";282339;134829;"157578";"76986";"130029";17005;"5170"
"PIEMONTE";"CUNEO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";466707;227176;"237953";"119651";"198572";22612;"7758"
"SICILIA";"ENNA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";190924;93728;"64366";"33530";"52697";4558;"2806"
"EMILIA ROMAGNA";"FERRARA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";312520;147929;"202631";"98795";"177436";15311;"5042"
"TOSCANA";"FIRENZE";"1";"Elezione Camera Deputati (abolizione del voto di lista)";807619;383038;"465851";"228900";"412715";35798;"8008"
"PUGLIA";"FOGGIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";580989;283434;"251252";"132686";"221150";14664;"6418"
"EMILIA ROMAGNA";"FORLI'-CESENA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";306246;147252;"183753";"91447";"164745";11707;"3317"
"LAZIO";"FROSINONE";"1";"Elezione Camera Deputati (abolizione del voto di lista)";443091;216296;"221593";"114394";"188674";16477;"7019"
"LIGURIA";"GENOVA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";805010;376452;"392923";"191604";"341443";33516;"7520"
"FRIULI VENEZIA-GIULIA";"GORIZIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";123685;58707;"64343";"31232";"53992";6574;"1517"
"TOSCANA";"GROSSETO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";186879;89330;"105844";"53085";"94084";6919;"2012"
"LIGURIA";"IMPERIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";190610;90253;"89975";"43308";"79237";6201;"1871"
"ABRUZZI";"L'AQUILA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";282975;137590;"140763";"71498";"125873";7875;"3137"
"LIGURIA";"LA SPEZIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";198421;93941;"98587";"49208";"86584";7460;"2072"
"LAZIO";"LATINA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";431989;210418;"226239";"114476";"202334";13347;"4155"
"PUGLIA";"LECCE";"1";"Elezione Camera Deputati (abolizione del voto di lista)";702935;335812;"305339";"153110";"259553";20424;"11226"
"TOSCANA";"LIVORNO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";290466;138164;"158882";"78949";"140146";12457;"2650"
"TOSCANA";"LUCCA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";334667;159452;"172949";"85527";"151795";12565;"3315"
"MARCHE";"MACERATA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";256835;123649;"146843";"74848";"127521";9987;"4408"
"LOMBARDIA";"MANTOVA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";317256;150738;"179830";"88224";"154230";15768;"5228"
"TOSCANA";"MASSA-CARRARA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";178810;85265;"79991";"39954";"68612";6776;"1843"
"BASILICATA";"MATERA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";172064;84699;"77375";"40903";"66364";5050;"1980"
"SICILIA";"MESSINA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";578981;277073;"241476";"123707";"200625";16477;"10644"
"LOMBARDIA";"MILANO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";3148250;1500617;"1677908";"812500";"1457268";158479;"24552"
"EMILIA ROMAGNA";"MODENA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";525950;252787;"341550";"166932";"303291";23002;"8402"
