"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SCHEDE_BIANCHE"
"CAMPANIA";"NAPOLI";"1";"Elezione Camera Deputati (abolizione del voto di lista)";2453812;1186379;"974798";"514548";"863831";69094;"15636"
"PIEMONTE";"NOVARA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";291419;138616;"156318";"76305";"132230";14710;"4035"
"SARDEGNA";"NUORO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";234744;115908;"83210";"42497";"72386";6602;"1483"
"VENETO";"PADOVA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";715366;344115;"445135";"218335";"388381";34627;"10115"
"SICILIA";"PALERMO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";1081552;520876;"427974";"222976";"359101";33659;"13054"
"EMILIA ROMAGNA";"PARMA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";349416;166962;"195285";"96195";"169074";16516;"4277"
"LOMBARDIA";"PAVIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";429034;203378;"238107";"116810";"195946";24293;"8874"
"UMBRIA";"PERUGIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";519758;249869;"292435";"149620";"261168";20983;"4569"
"MARCHE";"PESARO E URBINO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";302648;146974;"172052";"87404";"152345";10735;"3941"
"ABRUZZI";"PESCARA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";272660;132081;"140229";"71193";"124142";9109;"2959"
"EMILIA ROMAGNA";"PIACENZA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";235402;112701;"133547";"66015";"114347";11462;"3692"
"TOSCANA";"PISA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";328402;156774;"181587";"90783";"158046";14435;"4142"
"TOSCANA";"PISTOIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";232624;110720;"129054";"63994";"113634";9230;"2917"
"BASILICATA";"POTENZA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";359142;176858;"146089";"77978";"119928";11593;"5646"
"SICILIA";"RAGUSA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";246532;119092;"111037";"56535";"93486";7108;"4086"
"EMILIA ROMAGNA";"RAVENNA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";305928;146210;"186772";"91694";"164735";14086;"4063"
"CALABRIA";"REGGIO CALABRIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";516824;250466;"167225";"89181";"138749";13053;"6984"
"EMILIA ROMAGNA";"REGGIO EMILIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";372170;179421;"235251";"115504";"208676";16448;"5283"
"LAZIO";"RIETI";"1";"Elezione Camera Deputati (abolizione del voto di lista)";125940;60721;"68831";"35220";"59464";5224;"1492"
"LAZIO";"ROMA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";3228643;1537947;"1666090";"821499";"1497455";109066;"18130"
"VENETO";"ROVIGO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";211641;101247;"125194";"62372";"105030";11696;"4213"
"CAMPANIA";"SALERNO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";912334;443643;"426444";"222074";"367740";29348;"12975"
"SARDEGNA";"SASSARI";"1";"Elezione Camera Deputati (abolizione del voto di lista)";395544;193960;"183823";"93139";"164977";11195;"2925"
"LIGURIA";"SAVONA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";249348;117097;"132980";"64614";"115469";10588;"3051"
"TOSCANA";"SIENA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";215950;103177;"127138";"63778";"112764";8977;"3068"
"SICILIA";"SIRACUSA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";351224;172333;"134574";"69722";"119260";7584;"2597"
"LOMBARDIA";"SONDRIO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";154192;75127;"63773";"31661";"54932";5579;"1736"
"PUGLIA";"TARANTO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";488064;235912;"233209";"121765";"201926";15592;"6064"
"ABRUZZI";"TERAMO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";255882;125634;"140343";"72182";"123622";9187;"3579"
"UMBRIA";"TERNI";"1";"Elezione Camera Deputati (abolizione del voto di lista)";192007;91662;"106563";"54206";"93618";7560;"1972"
"PIEMONTE";"TORINO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";1894365;910166;"992938";"490294";"838022";103052;"18130"
"SICILIA";"TRAPANI";"1";"Elezione Camera Deputati (abolizione del voto di lista)";376444;181380;"159051";"82238";"132545";10888;"7137"
"TRENTINO ALTO-ADIGE";"TRENTO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";395373;190616;"205427";"100551";"174851";18005;"5886"
"VENETO";"TREVISO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";667545;322846;"354062";"174936";"308364";28177;"8047"
"FRIULI VENEZIA-GIULIA";"UDINE";"1";"Elezione Camera Deputati (abolizione del voto di lista)";480421;230975;"225150";"111490";"196944";17501;"4172"
"LOMBARDIA";"VARESE";"1";"Elezione Camera Deputati (abolizione del voto di lista)";687751;328930;"342396";"167198";"290233";36026;"6486"
"VENETO";"VENEZIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";712224;342168;"385370";"190605";"332069";34473;"7497"
"PIEMONTE";"VERCELLI";"1";"Elezione Camera Deputati (abolizione del voto di lista)";156548;74652;"83482";"41125";"69765";8003;"2618"
"VENETO";"VERONA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";675685;324623;"385098";"188575";"337406";28947;"8690"
"VENETO";"VICENZA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";652051;315521;"373350";"181858";"329253";27034;"8232"
"LAZIO";"VITERBO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";243451;117850;"137530";"69813";"120599";8481;"3517"
"FRIULI VENEZIA-GIULIA";"TRIESTE";"1";"Elezione Camera Deputati (abolizione del voto di lista)";223826;103557;"106264";"50685";"92683";9398;"1641"
"FRIULI VENEZIA-GIULIA";"PORDENONE";"1";"Elezione Camera Deputati (abolizione del voto di lista)";257766;124756;"122491";"61461";"107873";9059;"2319"
"MOLISE";"ISERNIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";91993;44957;"39143";"20340";"33949";2214;"1300"
"SARDEGNA";"ORISTANO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";135580;66881;"56848";"28799";"51048";3477;"907"
"PIEMONTE";"BIELLA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";165391;78045;"90878";"43756";"76599";8094;"2628"
"CALABRIA";"CROTONE";"1";"Elezione Camera Deputati (abolizione del voto di lista)";147646;72772;"46482";"25753";"40518";2912;"1393"
"LOMBARDIA";"LECCO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";254354;122253;"130278";"62822";"108561";14220;"3576"
"LOMBARDIA";"LODI";"1";"Elezione Camera Deputati (abolizione del voto di lista)";162224;78086;"91395";"45039";"75983";10222;"2186"
"TOSCANA";"PRATO";"1";"Elezione Camera Deputati (abolizione del voto di lista)";187205;90154;"108299";"53907";"97798";6606;"1617"
"EMILIA ROMAGNA";"RIMINI";"1";"Elezione Camera Deputati (abolizione del voto di lista)";230300;110809;"137903";"69117";"123654";8444;"2717"
"PIEMONTE";"VERB.-CUS.OSSOLA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";144519;69244;"66900";"32698";"56917";6161;"1571"
"CALABRIA";"VIBO VALENTIA";"1";"Elezione Camera Deputati (abolizione del voto di lista)";160603;79275;"50011";"26923";"41245";3492;"2244"
