"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SKBIANCHE";"NUMVOTISI";"NUMVOTINO"
"MARCHE";"ASCOLI PICENO";"1";"Rimborso spese per consultazioni elettorali e referendarie";314577;151908;"112534";"58190";"10339";"74884";24069
"PIEMONTE";"ASTI";"3";"Elezione del Consiglio Superiore della Magistratura";180119;86320;"56561";"28881";"8408";"32328";13323
"PIEMONTE";"ASTI";"4";"Ordinamento giudiziario";180119;86320;"56661";"28935";"7425";"33163";13798
"PIEMONTE";"ASTI";"1";"Rimborso spese per consultazioni elettorali e referendarie";180119;86320;"57290";"29143";"5115";"36543";13420
"PIEMONTE";"ASTI";"5";"Incarichi extragiudiziari dei magistrati";180119;86320;"56774";"28970";"6557";"36120";11952
"PIEMONTE";"ASTI";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";180119;86320;"57180";"29195";"5112";"30698";19583
"PIEMONTE";"ASTI";"6";"Licenziamenti";180119;86320;"57520";"29351";"3467";"18478";34144
"PIEMONTE";"ASTI";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";180119;86320;"57241";"29222";"5942";"37924";11118
"CAMPANIA";"AVELLINO";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";407542;200044;"94574";"51364";"9715";"68585";13740
"CAMPANIA";"AVELLINO";"3";"Elezione del Consiglio Superiore della Magistratura";407542;200044;"93811";"50997";"13153";"62243";15742
"CAMPANIA";"AVELLINO";"4";"Ordinamento giudiziario";407542;200044;"94078";"51040";"11843";"63121";16319
"CAMPANIA";"AVELLINO";"5";"Incarichi extragiudiziari dei magistrati";407542;200044;"94241";"51168";"10830";"66630";14151
"CAMPANIA";"AVELLINO";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";407542;200044;"94215";"51125";"10586";"59220";21812
"CAMPANIA";"AVELLINO";"6";"Licenziamenti";407542;200044;"94530";"51336";"7142";"33065";52143
"CAMPANIA";"AVELLINO";"1";"Rimborso spese per consultazioni elettorali e referendarie";407542;200044;"94453";"51227";"9354";"66000";16496
"PUGLIA";"BARI";"6";"Licenziamenti";1314340;639145;"361870";"191667";"18462";"118040";217067
"PUGLIA";"BARI";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";1314340;639145;"360177";"190807";"30557";"226936";92488
