"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SCHEDE_BIANCHE"
"SICILIA";"AGRIGENTO";"1";"Disciplina della caccia";426344;210258;"130412";"66587";"111370";10425;"5260"
"SICILIA";"AGRIGENTO";"2";"Accesso dei cacciatori a fondi privati";426344;210258;"130445";"66605";"112003";10302;"4760"
"SICILIA";"AGRIGENTO";"3";"Uso dei pesticidi";426344;210258;"130642";"66757";"113306";9531;"4591"
"PIEMONTE";"ALESSANDRIA";"1";"Disciplina della caccia";382451;180555;"187182";"90503";"157420";17263;"8093"
"PIEMONTE";"ALESSANDRIA";"2";"Accesso dei cacciatori a fondi privati";382451;180555;"186947";"90616";"158712";16030;"7045"
"PIEMONTE";"ALESSANDRIA";"3";"Uso dei pesticidi";382451;180555;"188127";"91301";"164017";13055;"5796"
"MARCHE";"ANCONA";"1";"Disciplina della caccia";364622;173526;"154536";"73869";"136142";10324;"5730"
"MARCHE";"ANCONA";"2";"Accesso dei cacciatori a fondi privati";364622;173526;"154690";"73973";"137107";10302;"5067"
"MARCHE";"ANCONA";"3";"Uso dei pesticidi";364622;173526;"156121";"74915";"142654";7705;"3740"
"VALLE D'AOSTA";"AOSTA";"2";"Accesso dei cacciatori a fondi privati";96921;47811;"44758";"22154";"38881";3162;"2122"
"VALLE D'AOSTA";"AOSTA";"3";"Uso dei pesticidi";96921;47811;"44874";"22226";"40048";2504;"1782"
"VALLE D'AOSTA";"AOSTA";"1";"Disciplina della caccia";96921;47811;"44729";"22129";"38465";3280;"2386"
"TOSCANA";"AREZZO";"2";"Accesso dei cacciatori a fondi privati";261586;126359;"68675";"33205";"56697";8229;"2960"
"TOSCANA";"AREZZO";"3";"Uso dei pesticidi";261586;126359;"70670";"34418";"63986";4247;"1829"
"TOSCANA";"AREZZO";"1";"Disciplina della caccia";261586;126359;"68742";"33244";"58860";5911;"3176"
"MARCHE";"ASCOLI PICENO";"1";"Disciplina della caccia";299569;144951;"111137";"53615";"95672";7885;"5056"
"MARCHE";"ASCOLI PICENO";"2";"Accesso dei cacciatori a fondi privati";299569;144951;"110900";"53532";"95915";8045;"4711"
"MARCHE";"ASCOLI PICENO";"3";"Uso dei pesticidi";299569;144951;"111552";"53940";"99222";6468;"3824"
"PIEMONTE";"ASTI";"1";"Disciplina della caccia";177848;84851;"76739";"37404";"62054";7786;"3765"
"PIEMONTE";"ASTI";"2";"Accesso dei cacciatori a fondi privati";177848;84851;"70000";"34197";"63276";7219;"3241"
"PIEMONTE";"ASTI";"3";"Uso dei pesticidi";177848;84851;"76608";"37370";"64023";6789;"2982"
"CAMPANIA";"AVELLINO";"3";"Uso dei pesticidi";379717;186289;"123236";"63207";"110565";7098;"3332"
"CAMPANIA";"AVELLINO";"2";"Accesso dei cacciatori a fondi privati";379717;186289;"122363";"62711";"109337";7662;"3551"
"CAMPANIA";"AVELLINO";"1";"Disciplina della caccia";379717;186289;"122419";"62727";"108813";7856;"3850"
"PUGLIA";"BARI";"1";"Disciplina della caccia";1187416;576139;"517216";"260307";"470586";26448;"11239"
"PUGLIA";"BARI";"2";"Accesso dei cacciatori a fondi privati";1187416;576139;"516486";"259678";"470742";26672;"9944"
"PUGLIA";"BARI";"3";"Uso dei pesticidi";1187416;576139;"516167";"259430";"460088";37255;"11035"
"VENETO";"BELLUNO";"1";"Disciplina della caccia";189849;90063;"82183";"38880";"72636";6088;"2312"
"VENETO";"BELLUNO";"2";"Accesso dei cacciatori a fondi privati";189849;90063;"82258";"38936";"73780";5545;"1850"
"VENETO";"BELLUNO";"3";"Uso dei pesticidi";189849;90063;"82365";"39010";"74654";4909;"1746"
"CAMPANIA";"BENEVENTO";"1";"Disciplina della caccia";249531;121360;"84429";"43171";"74112";5273;"2737"
"CAMPANIA";"BENEVENTO";"2";"Accesso dei cacciatori a fondi privati";249531;121360;"84487";"43195";"74708";5306;"2452"
"CAMPANIA";"BENEVENTO";"3";"Uso dei pesticidi";249531;121360;"84619";"43300";"74614";5535;"2424"
"LOMBARDIA";"BERGAMO";"1";"Disciplina della caccia";1168750;563572;"542331";"254742";"282136";37837;"15752"
"LOMBARDIA";"BERGAMO";"2";"Accesso dei cacciatori a fondi privati";1168750;563572;"340764";"160201";"285914";36111;"13971"
"LOMBARDIA";"BERGAMO";"3";"Uso dei pesticidi";1168750;563572;"341950";"161023";"299265";26950;"11407"
"EMILIA ROMAGNA";"BOLOGNA";"1";"Disciplina della caccia";785495;372462;"395240";"187893";"348986";26196;"14254"
"EMILIA ROMAGNA";"BOLOGNA";"2";"Accesso dei cacciatori a fondi privati";785495;372462;"395528";"188091";"351375";26510;"12263"
"EMILIA ROMAGNA";"BOLOGNA";"3";"Uso dei pesticidi";785495;372462;"397200";"189142";"362039";21406;"8886"
"TRENTINO-ALTO ADIGE";"BOLZANO";"1";"Disciplina della caccia";349723;171377;"119627";"58263";"99032";10022;"8787"
"TRENTINO-ALTO ADIGE";"BOLZANO";"2";"Accesso dei cacciatori a fondi privati";349723;171377;"119525";"58098";"97555";12406;"7777"
"TRENTINO-ALTO ADIGE";"BOLZANO";"3";"Uso dei pesticidi";349723;171377;"119813";"58312";"102133";9041;"6690"
"LOMBARDIA";"BRESCIA";"1";"Disciplina della caccia";835274;400867;"197013";"93080";"157578";26350;"10291"
"LOMBARDIA";"BRESCIA";"2";"Accesso dei cacciatori a fondi privati";835274;400867;"197512";"93419";"161986";24388;"8751"
"LOMBARDIA";"BRESCIA";"3";"Uso dei pesticidi";835274;400867;"201041";"95554";"176604";15539;"6536"
"PUGLIA";"BRINDISI";"1";"Disciplina della caccia";316805;152045;"112499";"54706";"99886";7006;"3693"
"PUGLIA";"BRINDISI";"2";"Accesso dei cacciatori a fondi privati";316805;152045;"112569";"54747";"100431";7073;"3204"
"PUGLIA";"BRINDISI";"3";"Uso dei pesticidi";316805;152045;"112668";"54830";"99848";7602;"3364"
"SARDEGNA";"CAGLIARI";"3";"Uso dei pesticidi";590628;289163;"200109";"96047";"177664";14801;"4428"
"SARDEGNA";"CAGLIARI";"1";"Disciplina della caccia";590628;289163;"199842";"95817";"173398";17369;"5566"
"SARDEGNA";"CAGLIARI";"2";"Accesso dei cacciatori a fondi privati";590628;289163;"199725";"95810";"173601";18003;"4742"
"SICILIA";"CALTANISSETTA";"3";"Uso dei pesticidi";255094;124417;"85258";"42469";"73602";6552;"2761"
