"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SCHEDE_BIANCHE"
"TOSCANA";"Pistoia";"3";"Finanziamento pubblico dei partiti";228094;108489;"189559";"93001";"162476";16908;"6757"
"TOSCANA";"Pistoia";"4";"Casse Risparmio e Monti Pieta'";228094;108489;"189340";"92855";"160012";17303;"8366"
"TOSCANA";"Pistoia";"5";"Ministero delle partecipazioni statali";228094;108489;"189325";"92848";"161301";16392;"8187"
"TOSCANA";"Pistoia";"7";"Ministero agricoltura e foreste";228094;108489;"189369";"92872";"128276";49368;"8192"
"TOSCANA";"Pistoia";"6";"Elezione Senato della Repubblica";228094;108489;"189979";"93279";"149169";31621;"5708"
"BASILICATA";"Potenza";"2";"Stupefacenti e sostanze  psicotrope";345283;169887;"215218";"110700";"111134";77852;"17476"
"BASILICATA";"Potenza";"3";"Finanziamento pubblico dei partiti";345283;169887;"215195";"110759";"162452";26422;"18042"
"BASILICATA";"Potenza";"4";"Casse Risparmio e Monti Pieta'";345283;169887;"215017";"110737";"158778";28868;"19217"
"BASILICATA";"Potenza";"5";"Ministero delle partecipazioni statali";345283;169887;"214935";"110648";"159739";27840;"18734"
"BASILICATA";"Potenza";"7";"Ministero agricoltura e foreste";345283;169887;"215282";"110759";"115084";74003;"17802"
"BASILICATA";"Potenza";"6";"Elezione Senato della Repubblica";345283;169887;"215181";"110829";"151686";37695;"16635"
"BASILICATA";"Potenza";"8";"Ministero turismo e spettacolo";345283;169887;"214591";"110284";"144295";44884;"17720"
"BASILICATA";"Potenza";"1";"Competenze USL";345283;169887;"215027";"110729";"153308";35443;"17640"
"SICILIA";"Ragusa";"7";"Ministero agricoltura e foreste";235088;113550;"166306";"83636";"98189";45226;"9856"
"SICILIA";"Ragusa";"1";"Competenze USL";235088;113550;"165665";"83334";"116607";26905;"10023"
"SICILIA";"Ragusa";"2";"Stupefacenti e sostanze  psicotrope";235088;113550;"165766";"83407";"88361";55289;"9657"
"SICILIA";"Ragusa";"3";"Finanziamento pubblico dei partiti";235088;113550;"165722";"83370";"122316";21095;"10235"
"SICILIA";"Ragusa";"4";"Casse Risparmio e Monti Pieta'";235088;113550;"166154";"83579";"118972";22901;"11163"
"EMILIA ROM.";"Piacenza";"8";"Ministero turismo e spettacolo";236940;113749;"201608";"98747";"161975";26885;"8763"
"EMILIA ROM.";"Piacenza";"1";"Competenze USL";236940;113749;"201635";"98747";"158314";31146;"8243"
"EMILIA ROM.";"Piacenza";"2";"Stupefacenti e sostanze  psicotrope";236940;113749;"201784";"98827";"96889";92160;"7928"
"EMILIA ROM.";"Piacenza";"3";"Finanziamento pubblico dei partiti";236940;113749;"201878";"98840";"173536";16433;"7640"
"EMILIA ROM.";"Piacenza";"4";"Casse Risparmio e Monti Pieta'";236940;113749;"201647";"98771";"172319";16508;"8571"
"EMILIA ROM.";"Piacenza";"5";"Ministero delle partecipazioni statali";236940;113749;"201740";"98772";"174133";14983;"8677"
"EMILIA ROM.";"Piacenza";"7";"Ministero agricoltura e foreste";236940;113749;"201623";"98826";"132595";56724;"8488"
"TOSCANA";"Pisa";"2";"Stupefacenti e sostanze  psicotrope";324940;155066;"275470";"136113";"154788";106271;"10030"
"TOSCANA";"Pisa";"3";"Finanziamento pubblico dei partiti";324940;155066;"275255";"136259";"236712";24814;"9822"
"TOSCANA";"Pisa";"4";"Casse Risparmio e Monti Pieta'";324940;155066;"274799";"135899";"232385";25168;"12549"
"TOSCANA";"Pisa";"7";"Ministero agricoltura e foreste";324940;155066;"274856";"135783";"182537";75956;"12047"
