"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SCHEDE_BIANCHE"
"SICILIA";"Agrigento";"1";"Riduzione preferenze Camera dei Deputati";429921;212011;"205861";"106397";"183287";11649;"4248"
"PIEMONTE";"Alessandria";"1";"Riduzione preferenze Camera dei Deputati";383057;181151;"250191";"122562";"224623";10906;"6630"
"MARCHE";"Ancona";"1";"Riduzione preferenze Camera dei Deputati";367209;174714;"252789";"124245";"229448";10859;"6424"
"VALLE D'AOSTA";"Aosta";"1";"Riduzione preferenze Camera dei Deputati";97878;48283;"62549";"31369";"57427";1907;"1818"
"TOSCANA";"Arezzo";"1";"Riduzione preferenze Camera dei Deputati";263115;127094;"164883";"82738";"149282";7234;"4697"
"MARCHE";"Ascoli Piceno";"1";"Riduzione preferenze Camera dei Deputati";301931;146081;"197660";"98259";"177085";8157;"5566"
"PIEMONTE";"Asti";"1";"Riduzione preferenze Camera dei Deputati";178801;85289;"105855";"52248";"93684";5192;"3423"
"CAMPANIA";"Avellino";"1";"Riduzione preferenze Camera dei Deputati";383445;188319;"179010";"93017";"160662";9793;"4362"
"PUGLIA";"Bari";"1";"Riduzione preferenze Camera dei Deputati";1203012;584056;"708292";"359084";"658186";25788;"9431"
"VENETO";"Belluno";"1";"Riduzione preferenze Camera dei Deputati";190558;90365;"108909";"52606";"101240";4039;"1671"
"CAMPANIA";"Benevento";"1";"Riduzione preferenze Camera dei Deputati";252570;122972;"118480";"61478";"104449";7022;"3618"
"LOMBARDIA";"Bergamo";"1";"Riduzione preferenze Camera dei Deputati";750223;362856;"522097";"248443";"468331";28535;"14321"
"EMILIA ROMAGNA";"Bologna";"1";"Riduzione preferenze Camera dei Deputati";787651;373994;"571068";"275387";"533016";20685;"9066"
"TRENTINO A.ADIGE";"Bolzano";"1";"Riduzione preferenze Camera dei Deputati";353939;173001;"206751";"100650";"183619";9782;"9994"
