"COLLEGIO";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA";"ELETTO";"COGNOME";"NOME";"SESSO"
"VALLE D'AOSTA";"AVISE";231;120;195;107;11;"UNION VALDOTAINE PROGRESSISTE";68,00;"N";"VIERIN";"LAURENT";"M"
"VALLE D'AOSTA";"AVISE";231;120;195;107;11;"FRATELLI D'ITALIA";3,00;"N";"MELONI";"GIORGIA";"F"
"VALLE D'AOSTA";"AVISE";231;120;195;107;11;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";23,00;"N";"COGNETTA";"ROBERTO UGO MASSIMO";"M"
"VALLE D'AOSTA";"AVISE";231;120;195;107;11;"AUTONOMIE LIBERTE' DEMOCRATIE";44,00;"N";"GUICHARDAZ";"JEAN PIERRE";"M"
"VALLE D'AOSTA";"AVISE";231;120;195;107;11;"NATION VAL D'OUTA";0,00;"N";"CAMPION";"EROS";"M"
"VALLE D'AOSTA";"AVISE";231;120;195;107;11;"FARE PER FERMARE IL DECLINO";2,00;"N";"BUILLET";"FABRIZIO";"M"
"VALLE D'AOSTA";"AVISE";231;120;195;107;11;"VALLEE D'AOSTE";34,00;"E";"MARGUERETTAZ";"RUDI FRANCO";"M"
"VALLE D'AOSTA";"AVISE";231;120;195;107;11;"UNIONE DI CENTRO";2,00;"N";"BRINGHEN";"LUCA";"M"
"VALLE D'AOSTA";"AVISE";231;120;195;107;11;"CASAPOUND ITALIA";2,00;"N";"LADU";"ANDREA";"M"
"VALLE D'AOSTA";"AVISE";231;120;195;107;11;"LEGA NORD";2,00;"N";"SPELGATTI";"NICOLETTA";"F"
"VALLE D'AOSTA";"AYAS";1021;518;733;380;14;"UNION VALDOTAINE PROGRESSISTE";225,00;"N";"VIERIN";"LAURENT";"M"
"VALLE D'AOSTA";"AYAS";1021;518;733;380;14;"FRATELLI D'ITALIA";24,00;"N";"MELONI";"GIORGIA";"F"
