"COLLEGIO";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA";"ELETTO";"COGNOME";"NOME";"SESSO"
"VALLE D'AOSTA";"ARVIER";672;337;554;280;17;"UNIONE DI CENTRO";8,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"ARVIER";672;337;554;280;17;"FI-AN";46,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"ARVIER";672;337;554;280;17;"PARTITO PENSIONATI";5,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"ARVIER";672;337;554;280;17;"LEGA NORD V.D'AOSTE";11,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"ARVIER";672;337;554;280;17;"AUT.LIB. DEMOCRATIE";211,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"AVISE";245;126;208;109;9;"FIAMMA TRICOLORE";0,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"AVISE";245;126;208;109;9;"VALLEE D'AOSTE";50,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"AVISE";245;126;208;109;9;"ALTERNATIVA SOCIALE MUSSOLINI";2,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"AVISE";245;126;208;109;9;"UNIONE DI CENTRO";4,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"AVISE";245;126;208;109;9;"FI-AN";15,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"AVISE";245;126;208;109;9;"PARTITO PENSIONATI";1,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"AVISE";245;126;208;109;9;"LEGA NORD V.D'AOSTE";1,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"AVISE";245;126;208;109;9;"AUT.LIB. DEMOCRATIE";122,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"AYAS";1040;500;874;439;32;"FIAMMA TRICOLORE";2,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"AYAS";1040;500;874;439;32;"VALLEE D'AOSTE";306,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"AYAS";1040;500;874;439;32;"ALTERNATIVA SOCIALE MUSSOLINI";17,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"AYAS";1040;500;874;439;32;"UNIONE DI CENTRO";54,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"AYAS";1040;500;874;439;32;"FI-AN";115,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"AYAS";1040;500;874;439;32;"PARTITO PENSIONATI";10,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"AYAS";1040;500;874;439;32;"LEGA NORD V.D'AOSTE";41,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"AYAS";1040;500;874;439;32;"AUT.LIB. DEMOCRATIE";273,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"AYMAVILLES";1577;782;1310;665;48;"FIAMMA TRICOLORE";8,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"AYMAVILLES";1577;782;1310;665;48;"VALLEE D'AOSTE";369,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"AYMAVILLES";1577;782;1310;665;48;"ALTERNATIVA SOCIALE MUSSOLINI";15,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"AYMAVILLES";1577;782;1310;665;48;"UNIONE DI CENTRO";29,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"AYMAVILLES";1577;782;1310;665;48;"FI-AN";192,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"AYMAVILLES";1577;782;1310;665;48;"PARTITO PENSIONATI";17,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"AYMAVILLES";1577;782;1310;665;48;"LEGA NORD V.D'AOSTE";23,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"AYMAVILLES";1577;782;1310;665;48;"AUT.LIB. DEMOCRATIE";576,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"BARD";113;55;99;50;2;"FIAMMA TRICOLORE";3,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"BARD";113;55;99;50;2;"VALLEE D'AOSTE";35,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"BARD";113;55;99;50;2;"ALTERNATIVA SOCIALE MUSSOLINI";0,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"BARD";113;55;99;50;2;"UNIONE DI CENTRO";4,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"BARD";113;55;99;50;2;"FI-AN";10,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"BARD";113;55;99;50;2;"PARTITO PENSIONATI";2,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"BARD";113;55;99;50;2;"LEGA NORD V.D'AOSTE";2,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"BARD";113;55;99;50;2;"AUT.LIB. DEMOCRATIE";38,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"BIONAZ";198;105;170;92;8;"FIAMMA TRICOLORE";1,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"BIONAZ";198;105;170;92;8;"VALLEE D'AOSTE";61,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"BIONAZ";198;105;170;92;8;"ALTERNATIVA SOCIALE MUSSOLINI";1,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"BIONAZ";198;105;170;92;8;"UNIONE DI CENTRO";3,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"BIONAZ";198;105;170;92;8;"FI-AN";14,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"BIONAZ";198;105;170;92;8;"PARTITO PENSIONATI";0,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"BIONAZ";198;105;170;92;8;"LEGA NORD V.D'AOSTE";9,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"BIONAZ";198;105;170;92;8;"AUT.LIB. DEMOCRATIE";69,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"BRISSOGNE";768;400;672;346;27;"FIAMMA TRICOLORE";1,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"BRISSOGNE";768;400;672;346;27;"VALLEE D'AOSTE";240,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"BRISSOGNE";768;400;672;346;27;"ALTERNATIVA SOCIALE MUSSOLINI";5,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"BRISSOGNE";768;400;672;346;27;"UNIONE DI CENTRO";11,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"BRISSOGNE";768;400;672;346;27;"FI-AN";108,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"BRISSOGNE";768;400;672;346;27;"PARTITO PENSIONATI";5,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"BRISSOGNE";768;400;672;346;27;"LEGA NORD V.D'AOSTE";8,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"BRISSOGNE";768;400;672;346;27;"AUT.LIB. DEMOCRATIE";251,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"BRUSSON";695;333;599;297;28;"FIAMMA TRICOLORE";5,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"BRUSSON";695;333;599;297;28;"VALLEE D'AOSTE";240,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"BRUSSON";695;333;599;297;28;"ALTERNATIVA SOCIALE MUSSOLINI";9,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"BRUSSON";695;333;599;297;28;"UNIONE DI CENTRO";12,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"BRUSSON";695;333;599;297;28;"FI-AN";63,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"BRUSSON";695;333;599;297;28;"PARTITO PENSIONATI";6,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"BRUSSON";695;333;599;297;28;"LEGA NORD V.D'AOSTE";16,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"BRUSSON";695;333;599;297;28;"AUT.LIB. DEMOCRATIE";205,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";622;311;535;276;36;"FIAMMA TRICOLORE";5,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";622;311;535;276;36;"VALLEE D'AOSTE";212,00;"";"VIERIN";"Marco";"M"
